timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
10:12:09,qa-gateway-1,13.41,232.9MiB on 768MiB,30.32,11.9MB on 14.4MB,0B on 266kB
10:12:09,qa-orderapi-1,79.86,378.9MiB on 1GiB,37.00,22.8MB on 20MB,0B on 164kB
10:12:09,qa-userapi-1,192.40,446.9MiB on 1GiB,43.64,5.89MB on 4.32MB,0B on 168kB
10:12:09,qa-eureka-1,1.10,211MiB on 512MiB,41.20,45.6kB on 302kB,0B on 184kB
10:12:09,qa-mysql-order-1,16.34,412.2MiB on 15.26GiB,2.64,9.99MB on 14MB,131kB on 353MB
10:12:09,qa-redis-1,1.87,4.852MiB on 15.26GiB,0.03,4.23MB on 2.47MB,0B on 778kB
10:12:09,qa-mysql-user-1,4.87,405.1MiB on 15.26GiB,2.59,2.11MB on 3.87MB,131kB on 306MB
10:12:09,qa-kafka-1,3.35,416.1MiB on 15.26GiB,2.66,1.36MB on 795kB,0B on 3.12MB
10:12:17,qa-k6-run-a4819b779e3c,9.26,117MiB on 15.26GiB,0.75,7.65MB on 5.68MB,0B on 0B
10:12:17,qa-gateway-1,13.51,235.4MiB on 768MiB,30.66,13.1MB on 16MB,0B on 266kB
10:12:17,qa-orderapi-1,46.34,380.5MiB on 1GiB,37.16,25.5MB on 22.3MB,0B on 164kB
10:12:17,qa-userapi-1,201.18,453.7MiB on 1GiB,44.31,6.41MB on 4.7MB,0B on 168kB
10:12:17,qa-eureka-1,3.05,211.4MiB on 512MiB,41.29,49.6kB on 324kB,0B on 184kB
10:12:17,qa-mysql-order-1,18.02,412.4MiB on 15.26GiB,2.64,11.1MB on 15.7MB,131kB on 359MB
10:12:17,qa-redis-1,2.08,4.988MiB on 15.26GiB,0.03,4.74MB on 2.81MB,0B on 778kB
10:12:17,qa-mysql-user-1,4.46,405.1MiB on 15.26GiB,2.59,2.28MB on 4.21MB,131kB on 307MB
10:12:17,qa-kafka-1,3.66,419.1MiB on 15.26GiB,2.68,1.45MB on 837kB,0B on 3.32MB
10:12:25,qa-k6-run-a4819b779e3c,8.41,118MiB on 15.26GiB,0.76,8.36MB on 6.16MB,0B on 0B
